Internal gene ID,Vectorbase Identifier,OrthoDB category,OrthoDB D. mel ,Display name,Gene family,Gene subfamily,Name evidence
gene15372,AAEL015609,EOG8P8J96,CG5646,,,,
gene15373,AAEL001956,NA,NA,,,,
gene15374,AAEL001921,EOG8WHC9Z,Tet,,,,
gene15375,AAEL001927,NA,NA,,,,
gene15376,AAEL001919,EOG80048X,Ptp61F,,,,
gene15377,AAEL001924,NA,NA,,,,
gene15378,AAEL001925,NA,NA,,,,
gene15379,AAEL001930,EOG8MGW0X,Jwa,,,,
gene1538,AAEL002085,NA,NA,,,,
gene15380,AAEL001950,EOG87Q0XJ-EOG87Q0XJ,CG5111-CG15445,,,,
gene15381,AAEL001943,EOG8X6G1Z,mRpS34,,,,
gene15382,AAEL001928,EOG8C2M2D-EOG8C2M2D-EOG8C2M2D-EOG8C2M2D-EOG8C2M2D-EOG8C2M2D,Act79B-Act88F-Act87E-Act42A-Act57B-Act5C,,,,
gene15383,AAEL001952,EOG8DBX6S-EOG8DBX6S,CG4438-CG11444,,,,
gene15384,AAEL001923,NA,NA,,,,
gene15385,AAEL001939,NA,NA,,,,
gene15386,AAEL001947,EOG8FJC2M,Blos2,,,,
gene15387,AAEL001936,EOG8FBMJF,CG8503,,,,
gene15388,AAEL001920,EOG886C44,CG11160,,,,
gene15389,AAEL001940,EOG80ZTPB,CdsA,,,,
gene1539,AAEL002082,EOG88KV38,CG5815,,,,
gene15390,AAEL001954,EOG8577ZF,Snx16,,,,
gene15391,AAEL001917,EOG8GF667,CG11583,,,,
gene15392,AAEL001929,EOG822D9R,spz5,,,,
gene15393,AAEL001949,NA,NA,,,,
gene15394,RU178,NA,NA,,,,
gene15395,AAEL001941,NA,NA,,,,
gene15396,AAEL001937,EOG8BS0BB,CG7966,,,,
gene15397,AAEL001931AAEL001942,NA,NA,,,,
gene15398,AAEL001938,NA,NA,,,,
gene15399,AAEL001934,NA,NA,,,,
gene154,AAEL008228,EOG83XXWP,CG31950,,,,
gene1540,AAEL002052,NA,NA,,,,
gene15400,AAEL001916,EOG8J4088-EOG8J4088-EOG8J4088-EOG8J4088-EOG8J4088,eIF4E-7-eIF4E-4-eIF4E-3-eIF-4E-eIF4E-5,,,,
gene15401,AAEL001932,EOG8BZQV3,Fadd,,,,
gene15402,AAEL001948,NA,NA,,,,
gene15403,AAEL001945,EOG8DJNPB,CG11586,,,,
gene15404,AAEL001944,EOG8ZW84F,CG32069,,,,
gene15405,AAEL001926,EOG8X6G1Z,mRpS34,,,,
gene15406,AAEL001922,NA,NA,,,,
gene15407,AAEL001946,NA,NA,,,,
gene15408,AAEL001933,EOG8KD9BK,CG4080,,,,
gene15409,AAEL001955,EOG8616WM,CG14286,,,,
gene1541,AAEL018008,EOG8F4W3M,Bx,,,,
gene15410,AAEL001918,EOG8ZW831,fog,,,,
gene15411,AAEL001953,NA,NA,,,,
gene15412,AAEL001935,EOG89GP73,CG1311,,,,
gene15413,AAEL001951,NA,NA,,,,
gene15414,AAEL008435,NA,NA,,,,
gene15415,AAEL008423,NA,NA,,,,
gene15416,AAEL008430,NA,NA,,,,
gene15417,AAEL008431,EOG8MSGPV,spoon,,,,
gene15418,AAEL008436,EOG8WT02C,CG6568,,,,
gene15419,AAEL008422,NA,NA,,,,
gene1542,AAEL002069,EOG8T4GMB,beg,,,,
gene15420,AAEL008427,EOG8G7FQ0,CG7706,,,,
gene15421,AAEL008434,EOG8GXJCQ,KdelR,,,,
gene15422,AAEL008426,EOG8C5G93,br,,,,
gene15423,AAEL008428,EOG8WWV93,Mitofilin,,,,
gene15424,AAEL008429,NA,NA,,,,
gene15425,AAEL008433,NA,NA,,,,
gene15426,AAEL008425,EOG8FJC26,Der-2,,,,
gene15427,AAEL008432,EOG8BCHCH,CG7708,,,,
gene15428,AAEL008424,EOG8XPT6G,NAAT1,,,,
gene1543,AAEL002064,EOG86DPTS,EndoG,,,,
gene15430,AAEL014843,EOG8DNHVZ,Hsp83,,,,
gene15431,AAEL014845,EOG8DNHVZ,Hsp83,,,,
gene15432,AAEL014844,EOG8M94GZ,Wsck,,,,
gene15433,AAEL014842,EOG8C8BJ1,Mipp1,,,,
gene15434,AAEL009053,NA,NA,,,,
gene15435,AAEL013940,EOG8PVRQ6,Caf1-105,,,,
gene15436,AAEL013939,EOG8KSS9S,rl,,,,
gene15437,AAEL013942,EOG88KV3F,CG32099,,,,
gene15438,AAEL013941,EOG8VT8PF,CG44001,,,,
gene15439,AAEL018357,EOG8CC6RZ,Su(Tpl),,,,
gene1544,AAEL002042,NA,NA,,,,
gene15440,AAEL006041,NA,NA,,,,
gene15441,AAEL006025,NA,NA,,,,
gene15442,AAEL017454,NA,NA,,,,
gene15443,AAEL006014,EOG8J6VG8,Pxd,,,,
gene15444,AAEL006033,EOG88PQB3,Dhod,,,,
gene15445,AAEL006022,EOG8K6JVC,Sbf,,,,
gene15446,AAEL006016,EOG8QRKVS,CG12125,,,,
gene15447,AAEL006031,EOG8QRKVP,Ns3,,,,
gene15448,AAEL006023,EOG8SJ85B-EOG8SJ85B-EOG8SJ85B-EOG8SJ85B,Btnd-vanin-like-CG32751-CG32750,,,,
gene15449,AAEL006034,NA,NA,,,,
gene1545,AAEL002087,EOG8WT02C,CG6568,,,,
gene15450,AAEL006027,NA,NA,,,,
gene15451,AAEL006043,EOG8HX7RF,CG1965,,,,
gene15452,AAEL006028,EOG86T5RP,cv-d,,,,
gene15453,AAEL006030,NA,NA,,,,
gene15454,AAEL006013,EOG8PG8R2,Set2,,,,
gene15455,AAEL006036,EOG8TQQ2H,Ssu72,,,,
gene15456,AAEL017399,NA,NA,,,,
gene15457,AAEL006040,EOG8JMBF0,beta'COP,,,,
gene15458,AAEL006019,EOG8KWNHZ,para,,,,
gene15459,AAEL006038,EOG83R6BV,BRWD3,,,,
gene1546,AAEL002076,EOG8SBHRB,Tom7,,,,
gene15460,AAEL006020,NA,NA,,,,
gene15461,AAEL006035,NA,NA,,,,
gene15462,AAEL006039,EOG898XRW,CG10778,,,,
gene15463,AAEL006026,EOG80S367,Lrpprc2,,,,
gene15464,AAEL006042,EOG8QZBBP-EOG8QZBBP-EOG8QZBBP,CG5144-Argk-CG4546,,,,
gene15465,AAEL006032,NA,NA,,,,
gene15466,AAEL006037,NA,NA,,,,
gene15467,AAEL006017,EOG8ZGS47,CG9133,,,,
gene15468,AAEL006018,EOG8WT024,Mer,,,,
gene15469,AAEL006024,NA,NA,,,,
gene1547,AAEL002075,NA,NA,,,,
gene15470,AAEL006029,EOG8C8BJD,Dmn,,,,
gene15472,AAEL007282,EOG80VZF3,Rop,,,,
gene15473,AAEL007301,EOG8VMJ5R,CG11851,,,,
gene15474,AAEL007306,EOG80KBQ4,Actn,,,,
gene15475,AAEL007283,EOG89PDPX,CG6432,,,,
gene15476,AAEL007310,EOG8WT01S,CG6454,,,,
gene15477,AAEL007293,EOG8BP43T-EOG8BP43T,Pka-C3-Pka-C1,,,,
gene15478,AAEL007308,EOG8VMJ5R,CG11851,,,,
gene15479,AAEL007291,EOG84TS1S,RPA3,,,,
gene1548,AAEL002068,EOG89368J,CG8728,,,,
gene15480,AAEL007280,EOG8G1Q6W,CG4281,,,,
gene15481,AAEL007296,EOG8BCHCP,CG8306,,,,
gene15482,AAEL007300,EOG80VZF3,Rop,,,,
gene15483,RU179,NA,NA,,,,
gene15484,AAEL007303,EOG8HX7R7,G9a,,,,
gene15485,AAEL007298,EOG8X3KS0,CG5065,,,,
gene15486,AAEL007285,EOG8RR997-EOG8RR997,OdsH-unc-4,,,,
gene15487,AAEL007284,EOG8Z395P,Pdk1,,,,
gene15488,AAEL007290,EOG8GB9XN,CG43427,,,,
gene15489,AAEL007281,NA,NA,,,,
gene1549,AAEL002073,NA,NA,,,,
gene15490,AAEL007288,EOG8MSGPJ,shi,,,,
gene15491,AAEL007305,EOG8GTP4B,tyn,,,,
gene15492,AAEL007302,EOG870X7P,CG32645,,,,
gene15493,AAEL007297,EOG82JRHB,Rpt3,,,,
gene15494,AAEL007304,EOG8FJC1K,Mrtf,,,,
gene15495,AAEL007289,EOG8TTK9F,Surf6,,,,
gene15496,AAEL007287,EOG84TS0B,NA,,,,
gene15497,AAEL007295,NA,NA,,,,
gene15498,AAEL007309,EOG8XWJPC,CG4332,,,,
gene15499,AAEL007292,EOG82VC79,Unc-76,,,,
gene155,AAEL008232,EOG8W114S,CG10960,,,,
gene1550,AAEL002078,NA,NA,,,,
gene15500,AAEL007307,EOG81K24D,Cog7,,,,
gene15501,AAEL007286,EOG8V9XH9,Manf,,,,
gene15502,AAEL007299,EOG86T5RZ,Cad96Cb,,,,
gene15503,AAEL014391,EOG81NXCC,CG15528,,,,
gene15504,AAEL010844,EOG8P2STP,CG5823,,,,
gene15505,AAEL010834,EOG837V5Z,ArfGAP1,,,,
gene15506,AAEL010836,EOG876NQS,CG11594,,,,
gene15507,AAEL010841,EOG8B01F5,CG11505,,,,
gene15508,AAEL010831,EOG83JFWX,Mul1,,,,
gene15509,AAEL010849,NA,NA,,,,
gene1551,AAEL002057,NA,NA,,,,
gene15510,AAEL018203,EOG80VZFV,BtbVII,,,,
gene15511,AAEL010837,EOG86X20Z,scaf6,,,,
gene15512,AAEL010838,EOG8MD0QQ,phtf,,,,
gene15513,AAEL010840,EOG8MGW0N,ND-30,,,,
gene15514,AAEL010842,EOG8R7Z2S,CG15812,,,,
gene15515,AAEL010830,NA,NA,,,,
gene15516,AAEL018202,EOG879HZ6,l(2)01289,,,,
gene15517,AAEL010843,EOG89KJHK,CG17737,,,,
gene15518,AAEL010835,EOG8TQQ1D,wnd,,,,
gene15519,AAEL010848,EOG8NGKCK-EOG8NGKCK,yellow-g2-yellow-g,,,,
gene1552,AAEL002084,EOG8FFGT8,CG14220,,,,
gene15520,AAEL010847,NA,NA,,,,
gene15521,AAEL010832,EOG8D55QG,CG14057,,,,
gene15522,AAEL010273,NA,NA,,,,
gene15523,AAEL010276,EOG8SBHPQ,CG6415,,,,
gene15524,AAEL008917,EOG8QC3XF,Trf2,,,,
gene15525,AAEL008915,EOG8V726T,CG42732,,,,
gene15526,AAEL008920,EOG8N8TW1-EOG8N8TW1-EOG8N8TW1,Ubi-p63E-RpS27A-CG11700,,,,
gene15527,AAEL008918,NA,NA,,,,
gene15528,AAEL008916,NA,NA,,,,
gene15529,AAEL011350,NA,NA,,,,
gene1553,AAEL002086,EOG8GXJCQ,KdelR,,,,
gene15530,AAEL011344,EOG890B1D,niki,,,,
gene15531,AAEL011345,EOG8BGCMW,wus,,,,
gene15532,AAEL011343,NA,NA,,,,
gene15533,AAEL011346,EOG81VNTH,CG42249,,,,
gene15534,AAEL011339,EOG80S37S,CG11590,,,,
gene15535,AAEL011342,EOG8DNHW8-EOG8DNHW8,CG5196-CG4483,,,,
gene15536,AAEL011349,EOG85B45Z,CG10663,,,,
gene15537,AAEL011347,EOG8TB731,CG10660,,,,
gene15538,AAEL011341,EOG81VNTH,CG42249,,,,
gene15539,AAEL011348,NA,NA,,,,
gene1554,AAEL002055,EOG85F0FP,7B2,,,,
gene15540,AAEL011340,EOG8D29GM,snRNP-U1-70K,,,,
gene15541,AAEL011338,NA,NA,,,,
gene15543,AAEL006062,EOG8S7NFH,neur,,,,
gene15544,AAEL006050,EOG8ZSCTJ,nxf2,,,,
gene15545,AAEL006052,NA,NA,,,,
gene15546,AAEL006046,NA,NA,,,,
gene15547,AAEL006049,EOG8V19SJ,mRpS10,,,,
gene15548,AAEL006057,EOG8V19S2,msi,,,,
gene15549,AAEL006060,NA,NA,,,,
gene1555,AAEL002081,NA,NA,,,,
gene15550,AAEL006058,NA,NA,,,,
gene15551,AAEL006061,EOG8MKR7Q,Prosalpha2,,,,
gene15552,AAEL006054,EOG8PP17J,CG5071,,,,
gene15553,AAEL006055,EOG85MQXT,CG5890,,,,
gene15554,AAEL006048,EOG83V2M3,CG5641,,,,
gene15555,AAEL006045,EOG8T4GM4,Con,,,,
gene15556,AAEL006056,EOG8FR3H5,Npl4,,,,
gene15557,AAEL006059,EOG8F7RB5,CG8187,,,,
gene15558,AAEL006044,NA,NA,,,,
gene15559,AAEL006053,NA,NA,,,,
gene1556,AAEL014510,EOG89W56C,sty,,,,
gene15560,AAEL006051,EOG81RSM9,Scgbeta,,,,
gene15561,AAEL014870,EOG8CG31F,kin17,,,,
gene15562,AAEL014867,EOG81K23K,Aac11,,,,
gene15563,AAEL014869,EOG88SKM4,l(2)37Cg,,,,
gene15564,AAEL014868,EOG8T4GKR,dia,,,,
gene15565,AAEL015527,NA,NA,,,,
gene15566,AAEL002562,EOG8WWVBB,CG33932,,,,
gene15567,AAEL002552,NA,NA,,,,
gene15568,AAEL017322,NA,NA,,,,
gene15569,AAEL002540,EOG8WWVBB,CG33932,,,,
gene1557,AAEL012624,EOG89GP83,poly,,,,
gene15570,AAEL002568,NA,NA,,,,
gene15571,AAEL002551,EOG8G4KFV,Top1,,,,
gene15572,AAEL002564,NA,NA,,,,
gene15573,AAEL002565,EOG8VMJ5H,bt,,,,
gene15574,AAEL002574,EOG83XXV0,CG7720,,,,
gene15575,AAEL002557,EOG879HZT,CG1607,,,,
gene15577,AAEL002550,EOG8TQQ32,Paip2,,,,
gene15578,AAEL002548,EOG8D81WZ,Tsc1,,,,
gene15579,AAEL002545,EOG8T4GMF,CG31030,,,,
gene1558,AAEL012627,EOG880MMW,wake,,,,
gene15580,AAEL002539,EOG8HHRSX,Fim,,,,
gene15581,AAEL002543,EOG8C2M2J,CG42675,,,,
gene15582,AAEL002559,EOG8XWJNZ,CG31028,,,,
gene15583,RU180,NA,NA,,,,
gene15584,AAEL002554,EOG85TGCT,Kal1,,,,
gene15585,AAEL002563,EOG89GP74,Hpr1,,,,
gene15586,AAEL002555,EOG83XXV0,CG7720,,,,
gene15587,AAEL002561,NA,NA,,,,
gene15588,AAEL002560,EOG87SW58,CG7381,,,,
gene15589,AAEL002541,NA,NA,,,,
gene1559,AAEL012626,NA,NA,,,,
gene15590,AAEL002572,EOG8JT2Z7,Mlc2,,,,
gene15591,AAEL002573,NA,NA,,,,
gene15592,AAEL002571,EOG8Z65CZ,CG34347,,,,
gene15593,AAEL002569,EOG8PP179,gwl,,,,
gene15594,AAEL002542,EOG815K5R,Tpi,,,,
gene15595,AAEL002544,EOG8MKR7P,CG4957,,,,
gene15596,AAEL002547,EOG876NR3,CG5282,,,,
gene15597,AAEL002570,NA,NA,,,,
gene15598,AAEL002549,EOG82Z7GW,sosie,,,,
gene15599,AAEL002566,EOG8T7BV8,CG32537,,,,
gene156,AAEL017281,EOG8GF65H,sgl,,,,
gene1560,AAEL017508,EOG88PQBJ,Dic1,,,,
gene15600,AAEL002567,EOG8TF39Z,CG11498,,,,
gene15601,AAEL002576,EOG83XXV0,CG7720,,,,
gene15602,AAEL002546,EOG8T4GMF,CG31030,,,,
gene15603,AAEL002556,EOG8XWJP5,CG33172,,,,
gene15604,AAEL002553,EOG8SJ86H,CG15529,,,,
gene15605,AAEL005609,NA,NA,,,,
gene15606,AAEL005616,NA,NA,,,,
gene15607,AAEL005608,NA,NA,,,,
gene15608,AAEL005611,NA,NA,,,,
gene15609,AAEL005604,NA,NA,,,,
gene1561,AAEL012628,NA,NA,,,,
gene15610,AAEL005594,NA,NA,,,,
gene15611,AAEL005599,EOG8DJNNQ-EOG8DJNNQ,dpr5-dpr4,,,,
gene15612,AAEL005610,EOG815K4Z,ATPsynB,,,,
gene15613,AAEL005617,EOG8C2M24,UGP,,,,
gene15614,AAEL005605,EOG82C10T,Papss,,,,
gene15615,AAEL005595,NA,NA,,,,
gene15616,AAEL005601,NA,NA,,,,
gene15617,AAEL005615,NA,NA,,,,
gene15618,AAEL005612,NA,NA,,,,
gene15619,AAEL018345,NA,NA,,,,
gene1562,AAEL012622,NA,NA,,,,
gene15620,AAEL005600,NA,NA,,,,
gene15621,AAEL005596,NA,NA,,,,
gene15622,AAEL018344,EOG8P8J8B,RecQ5,,,,
gene15623,AAEL005602AAEL005606,NA,NA,,,,
gene15624,AAEL005607,NA,NA,,,,
gene15625,AAEL005598,NA,NA,,,,
gene15626,AAEL017051,NA,NA,,,,
gene15627,AAEL015663,NA,NA,,,,
gene1563,AAEL012625,NA,NA,,,,
gene15633,RU181,NA,NA,,,,
gene15634,RU182,NA,NA,,,,
gene15635,RU183,NA,NA,,,,
gene15636,RU184,NA,NA,,,,
gene15638,RU564,NA,NA,,,,
gene15639,RU185,NA,NA,,,,
gene1564,AAEL012623,NA,NA,,,,
gene15640,RU186,NA,NA,,,,
gene15641,RU569,NA,NA,,,,
gene15642,RU187,NA,NA,,,,
gene15643,RU188,NA,NA,,,,
gene15644,RU570,NA,NA,,,,
gene15645,AAEL018067,EOG8MGVZT-EOG8MGVZT-EOG8MGVZT-EOG8MGVZT-EOG8MGVZT,Ir56c-Ir56b-Ir56d-Ir56a-Ir51b,,,,
gene15647,RU189,NA,NA,,,,
gene15648,AAEL018068,EOG8MGVZT-EOG8MGVZT-EOG8MGVZT-EOG8MGVZT-EOG8MGVZT,Ir56d-Ir51b-Ir56a-Ir56c-Ir56b,,,,
gene15649,AAEL018066,NA,NA,,,,
gene1565,AAEL012621,EOG8N33FJ,B52,,,,
gene15650,RU190,NA,NA,,,,
gene15651,RU191,NA,NA,,,,
gene15652,RU192,NA,NA,,,,
gene15655,RU193,NA,NA,,,,
gene15656,RU565,NA,NA,,,,
gene15657,RU194,NA,NA,,,,
gene15658,RU195,NA,NA,,,,
gene15659,RU196,NA,NA,,,,
gene1566,AAEL015119,EOG8DJNNX,Cpr92F,,,,
gene15660,RU197,NA,NA,,,,
gene15661,RU198,NA,NA,,,,
gene1567,AAEL015118,NA,NA,,,,
gene15672,RU200,NA,NA,,,,
gene15676,RU201,NA,NA,,,,
gene15678,RU202,NA,NA,,,,
gene15679,RU203,NA,NA,,,,
gene1568,AAEL014692,EOG812PZ5,al,,,,
gene15680,RU204,NA,NA,,,,
gene15682,RU205,NA,NA,,,,
gene15683,RU206,NA,NA,,,,
gene15684,RU207,NA,NA,,,,
gene15685,RU208,NA,NA,,,,
gene15686,RU209,NA,NA,,,,
gene15687,RU210,NA,NA,,,,
gene15689,RU211,NA,NA,,,,
gene1569,AAEL015497,NA,NA,,,,
gene15690,RU212,NA,NA,,,,
gene15692,RU213,NA,NA,,,,
gene15693,RU214,NA,NA,,,,
gene15694,RU215,NA,NA,,,,
gene15696,RU216,NA,NA,,,,
gene15697,RU217,NA,NA,,,,
gene15698,RU218,NA,NA,,,,
gene15699,RU219,NA,NA,,,,
gene157,AAEL008230,NA,NA,,,,
gene1570,AAEL001234,NA,NA,,,,
gene15700,RU220,NA,NA,,,,
gene15701,AAEL018046,NA,NA,,,,
gene15702,AAEL018044,EOG85MQX1-EOG85MQX1-EOG85MQX1,Cyp9b2-Cyp9f2-Cyp9b1,,,,
gene15705,RU221,NA,NA,,,,
gene15707,RU222,NA,NA,,,,
gene15708,AAEL008161,EOG8KPX2D,abo,,,,
gene15709,RU223,NA,NA,,,,
gene1571,AAEL001244,EOG80GGG3,GEFmeso,,,,
gene15711,RU224,NA,NA,,,,
gene15712,RU225,NA,NA,,,,
gene15713,RU226,NA,NA,,,,
gene15715,RU227,NA,NA,,,,
gene15716,RU228,NA,NA,,,,
gene15717,AAEL018098,NA,NA,,,,
gene15718,AAEL018097,NA,NA,,,,
gene15719,RU229,NA,NA,,,,
gene1572,AAEL001235,EOG83FKP4,Ppt2,,,,
gene15720,RU230,NA,NA,,,,
gene15722,RU231,NA,NA,,,,
gene15723,RU232,NA,NA,,,,
gene15725,RU233,NA,NA,,,,
gene15726,RU234,NA,NA,,,,
gene15727,RU235,NA,NA,,,,
gene15728,RU236,NA,NA,,,,
gene15729,RU562,NA,NA,,,,
gene1573,AAEL001236,NA,NA,,,,
gene15730,RU237,NA,NA,,,,
gene15731,RU238,NA,NA,,,,
gene15732,RU239,NA,NA,,,,
gene15733,AAEL011237,EOG8Q2H7D,CG9067,,,,
gene15734,AAEL011237AAEL011239,NA,NA,,,,
gene15735,AAEL011127,NA,NA,,,,
gene15736,RU240,NA,NA,,,,
gene1574,AAEL016963,NA,NA,,,,
gene15740,RU241,NA,NA,,,,
gene15741,RU242,NA,NA,,,,
gene1575,AAEL017343,NA,NA,,,,
gene15753,RU244,NA,NA,,,,
gene15755,RU246,NA,NA,,,,
gene15757,RU247,NA,NA,,,,
gene1576,AAEL001233,NA,NA,,,,
gene15761,RU248,NA,NA,,,,
gene15763,RU249,NA,NA,,,,
gene15764,RU250,NA,NA,,,,
gene15767,RU251,NA,NA,,,,
gene15768,RU252,NA,NA,,,,
gene15769,RU253,NA,NA,,,,
gene1577,AAEL001240,EOG8ZW829,CG4168,,,,
gene15770,RU254,NA,NA,,,,
gene15771,RU563,NA,NA,,,,
gene15772,RU255,NA,NA,,,,
gene15774,RU256,NA,NA,,,,
gene15775,RU257,NA,NA,,,,
gene15776,RU258,NA,NA,,,,
gene15777,RU259,NA,NA,,,,
gene15778,RU260,NA,NA,,,,
gene15779,AAEL014691,NA,NA,,,,
gene1578,AAEL001243,EOG8NZXKC-EOG8NZXKC,sens-sens-2,,,,
gene15783,AAEL003233,EOG8KWNJP-EOG8KWNJP,grass-grass,,,,
gene15784,AAEL003249,NA,NA,,,,
gene15785,AAEL018094,NA,NA,,,,
gene15787,RU262,NA,NA,,,,
gene15788,RU263,NA,NA,,,,
gene15789,RU264,NA,NA,,,,
gene1579,AAEL001237,EOG8W6RNP,CG30101,,,,
gene15790,RU265,NA,NA,,,,
gene15791,AAEL007834,NA,NA,,,,
gene15792,RU567,NA,NA,,,,
gene15793,RU266,NA,NA,,,,
gene15794,RU267,NA,NA,,,,
gene15795,RU268,NA,NA,,,,
gene15796,AAEL017980,EOG8ZW82P-EOG8ZW82P-EOG8ZW82P-EOG8ZW82P-EOG8ZW82P-EOG8ZW82P-EOG8ZW82P,Hsp70Bb-Hsp70Aa-Hsp70Bbb-Hsp70Bc-Hsp68-Hsp70Ba-Hsp70Ab,,,,
gene158,AAEL008234,EOG8W3WCT,dsh,,,,
gene1580,AAEL001239,EOG8Q2H6M-EOG8Q2H6M,ZnT35C-ZnT33D,,,,
gene15802,RU269,NA,NA,,,,
gene15808,RU271,NA,NA,,,,
gene15809,RU272,NA,NA,,,,
gene1581,AAEL001242,EOG890B1H-EOG890B1H,RluA-1-RluA-2,,,,
gene15810,RU273,NA,NA,,,,
gene15811,RU274,NA,NA,,,,
gene15812,RU275,NA,NA,,,,
gene15813,RU276,NA,NA,,,,
gene15817,RU278,NA,NA,,,,
gene15818,RU279,NA,NA,,,,
gene15819,RU280,NA,NA,,,,
gene1582,AAEL001232,EOG8ZPHM3,Swim,,,,
gene15820,RU281,NA,NA,,,,
gene15821,RU282,NA,NA,,,,
gene15822,RU283,NA,NA,,,,
gene15823,RU284,NA,NA,,,,
gene15826,RU286,NA,NA,,,,
gene15828,RU287,NA,NA,,,,
gene15829,RU288,NA,NA,,,,
gene1583,AAEL001238,EOG8G4KFJ,l(2)k09022,,,,
gene15830,RU289,NA,NA,,,,
gene15831,RU290,NA,NA,,,,
gene15832,RU291,NA,NA,,,,
gene15833,RU292,NA,NA,,,,
gene15835,RU293,NA,NA,,,,
gene15836,RU294,NA,NA,,,,
gene15837,RU295,NA,NA,,,,
gene15838,RU296,NA,NA,,,,
gene15839,RU297,NA,NA,,,,
gene1584,AAEL001241,EOG81C9N1,CG14945,,,,
gene15846,RU298,NA,NA,,,,
gene15847,RU299,NA,NA,,,,
gene15848,RU300,NA,NA,,,,
gene15849,RU301,NA,NA,,,,
gene1585,AAEL017331,NA,NA,,,,
gene15850,RU572,NA,NA,,,,
gene15851,RU302,NA,NA,,,,
gene15852,AAEL018106,NA,NA,,,,
gene15853,AAEL018105,NA,NA,,,,
gene15854,RU303,NA,NA,,,,
gene15855,RU304,NA,NA,,,,
gene15857,RU305,NA,NA,,,,
gene15858,RU306,NA,NA,,,,
gene15859,RU307,NA,NA,,,,
gene1586,AAEL004793,EOG8284S0,CG45002,,,,
gene15860,RU308,NA,NA,,,,
gene15861,RU566,NA,NA,,,,
gene15863,RU309,NA,NA,,,,
gene15864,RU310,NA,NA,,,,
gene15866,RU311,NA,NA,,,,
gene15867,RU312,NA,NA,,,,
gene15868,RU313,NA,NA,,,,
gene15869,RU314,NA,NA,,,,
gene1587,AAEL004792,NA,NA,,,,
gene15870,RU315,NA,NA,,,,
gene15871,AAEL018092,NA,NA,,,,
gene15872,RU316,NA,NA,,,,
gene15873,RU317,NA,NA,,,,
gene15876,RU319,NA,NA,,,,
gene15877,RU320,NA,NA,,,,
gene15878,RU321,NA,NA,,,,
gene1588,RU015,NA,NA,,,,
gene15880,RU322,NA,NA,,,,
gene15882,AAEL003035,EOG8030J4-EOG8030J4-EOG8030J4,Rh4-Rh5-Rh3,,,,
gene15883,RU323,NA,NA,,,,
gene15884,RU324,NA,NA,,,,
gene15885,RU325,NA,NA,,,,
gene15886,RU326,NA,NA,,,,
gene15887,RU327,NA,NA,,,,
gene15889,RU328,NA,NA,,,,
gene1589,RU016,NA,NA,,,,
gene15890,RU329,NA,NA,,,,
gene15891,RU330,NA,NA,,,,
gene15892,RU331,NA,NA,,,,
gene15894,RU332,NA,NA,,,,
gene15895,RU333,NA,NA,,,,
gene15896,RU334,NA,NA,,,,
gene15897,RU335,NA,NA,,,,
gene15898,AAEL013495,EOG83XXWC-EOG83XXWC,CG33228-CG33228,,,,
gene15899,RU336,NA,NA,,,,
gene159,AAEL008226,NA,NA,,,,
gene1590,AAEL004787,NA,NA,,,,
gene15900,RU337,NA,NA,,,,
gene15901,RU338,NA,NA,,,,
gene15902,RU339,NA,NA,,,,
gene15903,RU340,NA,NA,,,,
gene15904,RU341,NA,NA,,,,
gene15905,RU342,NA,NA,,,,
gene15906,RU343,NA,NA,,,,
gene15907,RU344,NA,NA,,,,
gene15908,RU345,NA,NA,,,,
gene1591,AAEL004795,NA,NA,,,,
gene15910,RU346,NA,NA,,,,
gene15912,RU347,NA,NA,,,,
gene15913,RU348,NA,NA,,,,
gene15916,RU349,NA,NA,,,,
gene15918,RU350,NA,NA,,,,
gene15919,RU351,NA,NA,,,,
gene1592,AAEL004799,EOG8V19RW-EOG8V19RW,rn-sqz,,,,
gene15920,AAEL018083,NA,NA,,,,
gene15922,RU352,NA,NA,,,,
gene15923,AAEL001398,EOG8D81X1-EOG8D81X1,Exn-Exn,,,,
gene15924,RU353,NA,NA,,,,
gene15926,RU354,NA,NA,,,,
gene15927,RU355,NA,NA,,,,
gene15928,RU356,NA,NA,,,,
gene15929,RU357,NA,NA,,,,
gene1593,RU017,NA,NA,,,,
gene15930,RU358,NA,NA,,,,
gene15932,RU359,NA,NA,,,,
gene15933,RU360,NA,NA,,,,
gene15934,RU361,NA,NA,,,,
gene15935,RU362,NA,NA,,,,
gene15936,RU363,NA,NA,,,,
gene15939,RU364,NA,NA,,,,
gene1594,AAEL004796,NA,NA,,,,
gene15940,RU365,NA,NA,,,,
gene15941,RU366,NA,NA,,,,
gene15942,RU367,NA,NA,,,,
gene15943,RU368,NA,NA,,,,
gene15945,RU369,NA,NA,,,,
gene15946,RU370,NA,NA,,,,
gene15949,RU371,NA,NA,,,,
gene1595,AAEL004800,NA,NA,,,,
gene15951,RU372,NA,NA,,,,
gene15952,AAEL018072,EOG8MGVZT-EOG8MGVZT-EOG8MGVZT-EOG8MGVZT-EOG8MGVZT,Ir51b-Ir56c-Ir56a-Ir56b-Ir56d,,,,
gene15953,AAEL018073,EOG8MGVZT-EOG8MGVZT-EOG8MGVZT-EOG8MGVZT-EOG8MGVZT,Ir56b-Ir56a-Ir56c-Ir51b-Ir56d,,,,
