"","internal.gene_id","Chr","Start","End","Strand","Length","vectorbase.RU","flybase.fbpp.collapsed","flybase.fbgn.collapsed","flybase.annot.collapsed","flybase.gene.collapsed","orthodb.collapsed","display.name","gene.family","gene.family.specific"
"gene4689","gene4689","supercont1.946;supercont1.946;supercont1.946;supercont1.946;supercont1.946","142925;158807;159176;159479;167832","144450;159166;159405;159715;167869","-;-;-;-;-",2391,"AAEL013870",NA,NA,NA,NA,NA,"","",""
"gene469","gene469","supercont1.293","671621","674118","+",2498,"AAEL008008",NA,NA,NA,NA,NA,"","",""
"gene4690","gene4690","supercont1.946;supercont1.946;supercont1.946;supercont1.946;supercont1.946;supercont1.946;supercont1.946;supercont1.946;supercont1.946","227109;228240;228752;228769;241593;241691;241858;242434;242782","228187;228750;228766;228827;241671;241838;242222;242723;242806","-;-;-;-;-;-;-;-;-",2571,"AAEL013867","FBpp0078603","FBgn0037215","CG12582","beta-Man","EOG8JHG60","","",""
"gene4691","gene4691","supercont1.946","112992","116101","+",3110,"AAEL013868",NA,NA,NA,NA,NA,"","",""
"gene4692","gene4692","supercont1.946;supercont1.946","77389;77589","77518;78168","+;+",710,"AAEL013865","FBpp0087957","FBgn0050380","CG30380","CG30380","EOG83FKPZ","","",""
"gene4693","gene4693","supercont1.78;supercont1.78;supercont1.78;supercont1.78;supercont1.78","2391786;2394644;2395076;2395767;2415777","2394581;2394977;2395627;2396488;2416750","-;-;-;-;-",5378,"AAEL003116","FBpp0076326","FBgn0000121","CG5962","Arr2","EOG8JHG6K","","",""
"gene4694","gene4694","supercont1.78;supercont1.78;supercont1.78;supercont1.78;supercont1.78","2101039;2102271;2111318;2111692;2120144","2102051;2102412;2111362;2111794;2120216","-;-;-;-;-",1376,"AAEL003122","FBpp0088529","FBgn0035917","CG6416","Zasp66","EOG8W1152","","",""
"gene4695","gene4695","supercont1.78;supercont1.78;supercont1.78","2067470;2074659;2074830","2068689;2074738;2075611","-;-;-",2082,"AAEL003125","FBpp0076375","FBgn0035911","CG6638","CG6638","EOG8RV5H4","","",""
"gene4696","gene4696","supercont1.78","1976957","1979367","+",2411,"RU057",NA,NA,NA,NA,NA,"","",""
"gene4697","gene4697","supercont1.78;supercont1.78;supercont1.78;supercont1.78;supercont1.78;supercont1.78","2470687;2470821;2481099;2481215;2490209;2497564","2470760;2472276;2481154;2482723;2490373;2498855","-;-;-;-;-;-",4552,"AAEL003121","FBpp0290235","FBgn0053288","CG33288","CG33288","EOG84BDSQ","","",""
"gene4698","gene4698","supercont1.78;supercont1.78;supercont1.78","568058;578712;588101","569078;578872;588940","-;-;-",2022,"AAEL003115","FBpp0111505","FBgn0085397","CG34368","Fili","EOG8STVW5","","",""
"gene4699","gene4699","supercont1.78;supercont1.78","2081599;2083002","2082739;2083905","+;+",2045,"AAEL003113",NA,NA,NA,NA,NA,"","",""
"gene47","gene47","supercont1.688;supercont1.688;supercont1.688;supercont1.688;supercont1.688;supercont1.688","87144;87441;88062;90264;91426;91879","87289;87984;90206;91363;91709;91954","+;+;+;+;+;+",4295,"AAEL012386","FBpp0302854-FBpp0084756-FBpp0271768-FBpp0291666-FBpp0291237-FBpp0297173-FBpp0079228-FBpp0071545-FBpp0080682-FBpp0303069","FBgn0051792-FBgn0039644-FBgn0039645-FBgn0010549-FBgn0263316-FBgn0032908-FBgn0032026-FBgn0034612-FBgn0051793-FBgn0038740","CG31792-CG11897-CG11898-CG8799-CG14709-CG9270-CG7627-CG10505-CG31793-CG4562","CG31792-CG11897-CG11898-l(2)03659-Mrp4-CG9270-CG7627-CG10505-CG31793-CG4562","EOG8XWJP1-EOG8XWJP1-EOG8XWJP1-EOG8XWJP1-EOG8XWJP1-EOG8XWJP1-EOG8XWJP1-EOG8XWJP1-EOG8XWJP1-EOG8XWJP1","","",""
"gene470","gene470","supercont1.848","169827","173079","+",3253,"AAEL013463","FBpp0080211","FBgn0261535","CG7516","l(2)34Fd","EOG8ZKNBM","","",""
"gene4700","gene4700","supercont1.78;supercont1.78;supercont1.78;supercont1.78","2257138;2265164;2267935;2268156","2258092;2265304;2268000;2268678","-;-;-;-",1685,"AAEL003112","FBpp0076294","FBgn0052029","CG32029","Cpr66D","EOG87DD7S","","",""
"gene4701","gene4701","supercont1.78;supercont1.78;supercont1.78;supercont1.78;supercont1.78","2176781;2178587;2178830;2197384;2245858","2176786;2178770;2179170;2198013;2246143","-;-;-;-;-",1447,"AAEL003118",NA,NA,NA,NA,NA,"","",""
"gene4702","gene4702","supercont1.78;supercont1.78;supercont1.78","2842816;2843160;2843431","2843086;2843363;2846508","+;+;+",3553,"AAEL003114",NA,NA,NA,NA,NA,"","",""
"gene4703","gene4703","supercont1.78;supercont1.78;supercont1.78;supercont1.78;supercont1.78;supercont1.78","2581535;2587483;2588711;2588895;2592186;2593354","2583675;2587659;2588767;2589006;2592518;2593906","-;-;-;-;-;-",3373,"AAEL003119","FBpp0301169","FBgn0261258","CG6014","rgn","EOG86X21J","","",""
"gene4704","gene4704","supercont1.78;supercont1.78;supercont1.78;supercont1.78","1112809;1113191;1113424;1113772","1113122;1113367;1113714;1114614","+;+;+;+",1625,"AAEL003123",NA,NA,NA,NA,NA,"","",""
"gene4705","gene4705","supercont1.78","2660575","2660856","+",282,"AAEL003120",NA,NA,NA,NA,NA,"","",""
"gene4706","gene4706","supercont1.78;supercont1.78;supercont1.78;supercont1.78;supercont1.78;supercont1.78;supercont1.78;supercont1.78","2415443;2424735;2433019;2442495;2453920;2454190;2454647;2454910","2416750;2425045;2433218;2443476;2454125;2454582;2454849;2455814","+;+;+;+;+;+;+;+",4508,"AAEL003117","FBpp0076295","FBgn0035922","CG6486","Pex7","EOG8GJ2F6","","",""
"gene4707","gene4707","supercont1.78;supercont1.78;supercont1.78;supercont1.78;supercont1.78","1621310;1621397;1621574;1639397;1649619","1621349;1621473;1622882;1639557;1663309","+;+;+;+;+",15278,"AAEL003111","FBpp0111505","FBgn0085397","CG34368","Fili","EOG8STVW5","","",""
"gene4708","gene4708","supercont1.78;supercont1.78;supercont1.78","2470215;2479986;2564353","2470508;2480240;2565665","+;+;+",1862,"AAEL003124","FBpp0078053","FBgn0037081","CG6049","barc","EOG870X8V","","",""
"gene4709","gene4709","supercont1.4212;supercont1.4212;supercont1.4212","22;2260;2454","2193;2385;4064","+;+;+",3909,"AAEL015648","FBpp0076859","FBgn0035601","CG10640","Uev1A","EOG8VHP06","","",""
"gene471","gene471","supercont1.848;supercont1.848;supercont1.848;supercont1.848;supercont1.848;supercont1.848","324534;324707;325281;331334;331924;332793","324700;324768;325629;331859;332099;332818","+;+;+;+;+;+",1306,"AAEL013459",NA,NA,NA,NA,NA,"","",""
"gene4710","gene4710","supercont1.408;supercont1.408;supercont1.408;supercont1.408","75090;81936;82334;83197","76888;82266;83137;83792","-;-;-;-",3530,"AAEL009572","FBpp0084103","FBgn0015625","CG5814","CycB3","EOG8TTK8C","","",""
"gene4711","gene4711","supercont1.408;supercont1.408;supercont1.408","53572;53873;54491","53801;54376;55103","+;+;+",1347,"AAEL009576",NA,NA,NA,NA,NA,"","",""
"gene4712","gene4712","supercont1.408;supercont1.408;supercont1.408;supercont1.408;supercont1.408;supercont1.408;supercont1.408;supercont1.408;supercont1.408;supercont1.408;supercont1.408;supercont1.408;supercont1.408;supercont1.408;supercont1.408","916903;919243;936737;954513;962788;1014366;1047649;1057442;1070789;1071373;1098656;1107459;1116306;1117439;1127306","918891;919455;937094;954975;962828;1014446;1047866;1057535;1071008;1071455;1098763;1107539;1116389;1117504;1127401","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",4195,"AAEL009571",NA,NA,NA,NA,NA,"","",""
"gene4713","gene4713","supercont1.408;supercont1.408;supercont1.408;supercont1.408;supercont1.408;supercont1.408;supercont1.408;supercont1.408;supercont1.408;supercont1.408;supercont1.408","583666;602177;670550;679418;688634;688784;705857;706171;717284;743577;744485","584618;602681;670620;679608;688714;688946;705993;706476;720409;744113;744732","+;+;+;+;+;+;+;+;+;+;+",6318,"AAEL009574","FBpp0078575","FBgn0051523","CG31523","CG31523","EOG82FW8G","","",""
"gene4714","gene4714","supercont1.408;supercont1.408;supercont1.408;supercont1.408;supercont1.408","22355;23693;37561;38784;39163","23359;24012;38238;39099;39539","-;-;-;-;-",2696,"AAEL009575",NA,NA,NA,NA,NA,"","",""
"gene4715","gene4715","supercont1.408;supercont1.408","568377;568629","568565;570461","+;+",2022,"RU058",NA,NA,NA,NA,NA,"","",""
"gene4716","gene4716","supercont1.408","527553","528941","+",1389,"AAEL016993","FBpp0085108","FBgn0004573","CG12073","5-HT7","EOG82VC77","5-HT7","Serotonin receptor","Serotonin receptor"
"gene4717","gene4717","supercont1.80;supercont1.80;supercont1.80;supercont1.80","1450473;1462660;1474267;1512916","1452089;1463129;1475009;1513860","-;-;-;-",3775,"AAEL003179","FBpp0081780","FBgn0037834","CG6554","Art1","EOG8W6RMX","","",""
"gene4718","gene4718","supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80","1300998;1301527;1311500;1311654;1314912","1301345;1301666;1311586;1314848;1315128","+;+;+;+;+",3987,"AAEL017213","FBpp0082353","FBgn0262955","CG3180","RpII140","EOG8SBHP5","","",""
"gene4719","gene4719","supercont1.80;supercont1.80;supercont1.80","1351541;1351858;1366356","1351786;1352550;1367553","+;+;+",2137,"AAEL018295",NA,NA,NA,NA,NA,"","",""
"gene472","gene472","supercont1.848;supercont1.848;supercont1.848;supercont1.848;supercont1.848;supercont1.848;supercont1.848;supercont1.848;supercont1.848;supercont1.848;supercont1.848;supercont1.848;supercont1.848;supercont1.848","78455;81874;152196;153420;166578;166807;167063;167690;176032;176272;182903;183528;190941;191301","79284;82240;152721;155199;166742;167001;167521;167713;176205;176862;183230;184158;191061;194838","+;+;+;+;+;+;+;+;+;+;+;+;+;+",9729,"AAEL013460","FBpp0073392","FBgn0262740","CG11727","Evi5","EOG8DZ4KP","","",""
"gene4720","gene4720","supercont1.80;supercont1.80;supercont1.80;supercont1.80","2127823;2135106;2175471;2175798","2127832;2135313;2175731;2176002","+;+;+;+",684,"AAEL003167",NA,NA,NA,NA,NA,"","",""
"gene4721","gene4721","supercont1.80;supercont1.80","1400878;1401635","1401558;1402091","-;-",1138,"AAEL003165","FBpp0100064-FBpp0082309-FBpp0099893","FBgn0040076-FBgn0051469-FBgn0040077","CG33747-CG31469-CG33748","primo-2-CG31469-primo-1","EOG83FKPM-EOG83FKPM-EOG83FKPM","","",""
"gene4722","gene4722","supercont1.80;supercont1.80","1563901;1582393","1564504;1582844","-;-",1056,"AAEL003158","FBpp0083375","FBgn0038833","CG15696","CG15696","EOG8VMJ72","","",""
"gene4723","gene4723","supercont1.80;supercont1.80","1398087;1399785","1399723;1400730","+;+",2583,"AAEL003176",NA,NA,NA,NA,NA,"","",""
"gene4724","gene4724","supercont1.80;supercont1.80;supercont1.80","1752312;1755263;1800719","1755201;1755727;1801327","-;-;-",3964,"AAEL003168",NA,NA,NA,NA,NA,"","",""
"gene4725","gene4725","supercont1.80;supercont1.80;supercont1.80;supercont1.80","1608419;1609040;1609249;1609556","1608976;1609146;1609493;1610152","+;+;+;+",1507,"AAEL003156","FBpp0071364-FBpp0290150-FBpp0307845-FBpp0074269-FBpp0310276-FBpp0300934-FBpp0302640-FBpp0078910-FBpp0071674","FBgn0030163-FBgn0050280-FBgn0030164-FBgn0030880-FBgn0051832-FBgn0034160-FBgn0033312-FBgn0031804-FBgn0050281","CG1791-CG30280-CG1889-CG6788-CG31832-CG5550-CG8642-CG9500-CG30281","CG1791-CG30280-CG1889-CG6788-CG31832-CG5550-CG8642-CG9500-CG30281","EOG8W1154-EOG8W1154-EOG8W1154-EOG8W1154-EOG8W1154-EOG8W1154-EOG8W1154-EOG8W1154-EOG8W1154","","",""
"gene4726","gene4726","supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80","2565644;2565915;2568128;2583025;2589805","2565659;2568068;2568511;2583447;2589929","+;+;+;+;+",3102,"AAEL003169","FBpp0300449-FBpp0077154","FBgn0051774-FBgn0000547","CG31774-CG12676","fred-ed","EOG8P2SSH-EOG8P2SSH","","",""
"gene4727","gene4727","supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80","2618779;2661651;2664381;2667606;2668767;2674576;2682553;2685524;2685885","2619348;2661660;2664593;2668632;2668933;2676406;2683931;2685821;2686898","+;+;+;+;+;+;+;+;+",6509,"AAEL003162","FBpp0288517","FBgn0000256","CG3399","capu","EOG815K4K","","",""
"gene4728","gene4728","supercont1.80;supercont1.80","1416104;1418097","1418028;1419292","+;+",3121,"AAEL003153",NA,NA,NA,NA,NA,"","",""
"gene4729","gene4729","supercont1.80","545256","546563","-",1308,"AAEL003173","FBpp0303365","FBgn0000659","CG10002","fkh","EOG8JWZ5C","","",""
"gene473","gene473","supercont1.848;supercont1.848","315389;316965","316911;317238","-;-",1797,"AAEL013462",NA,NA,NA,NA,NA,"","",""
"gene4730","gene4730","supercont1.80;supercont1.80;supercont1.80","2687834;2688790;2694308","2688728;2694249;2695062","-;-;-",7110,"AAEL003171",NA,NA,NA,NA,NA,"","",""
"gene4731","gene4731","supercont1.80;supercont1.80;supercont1.80;supercont1.80","1287028;1287398;1290684;1293186","1287111;1288564;1291358;1294163","-;-;-;-",2904,"AAEL003152",NA,NA,NA,NA,NA,"","",""
"gene4732","gene4732","supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80","1491241;1531737;1539307;1550931;1551402;1551614;1551832;1561661","1494477;1531839;1539586;1551005;1551532;1551768;1552016;1562926","+;+;+;+;+;+;+;+",5432,"AAEL003161","FBpp0083395","FBgn0027493","CG17273","AdSS","EOG8XH2QT","","",""
"gene4733","gene4733","supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80","1632094;1632834;1647549;1647772;1648299;1648625","1632745;1633281;1647665;1647887;1648550;1655503","+;+;+;+;+;+",8464,"AAEL003154","FBpp0081312","FBgn0037537","CG2767","CG2767","EOG8JDKZZ","","",""
"gene4734","gene4734","supercont1.80;supercont1.80;supercont1.80;supercont1.80","2790180;2791501;2796953;2797566","2790660;2796880;2797321;2798232","+;+;+;+",6897,"AAEL003151","FBpp0079699","FBgn0032290","CG6443","CG6443","EOG8CRPRD","","",""
"gene4735","gene4735","supercont1.80","1427630","1428118","+",489,"AAEL003166",NA,NA,NA,NA,NA,"","",""
"gene4736","gene4736","supercont1.80;supercont1.80","2710918;2711107","2711052;2716784","+;+",5813,"AAEL003174","FBpp0077203","FBgn0051957","CG31957","CG31957","EOG8P2SV5","","",""
"gene4737","gene4737","supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80","713399;713692;716702;716930;717489;718273;720458;721230;743670;743930;744250;746041;759795;764008;765324;766338;766693;767447;767775;768196;768635;772315;779885","713631;716643;716868;717433;718214;720394;721170;721562;743705;744196;745632;746070;759841;765269;766272;766632;767391;767712;768111;768469;768682;772485;780325","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",14255,"AAEL003155","FBpp0307750","FBgn0013812","CG3723","Dhc93AB","EOG8NW29F","","",""
"gene4738","gene4738","supercont1.80;supercont1.80","915766;980861","916251;980931","-;-",557,"AAEL003164","FBpp0080244-FBpp0080243","FBgn0013300-FBgn0013301","CG4479-CG4478","ProtA-ProtB","EOG8BK7WN-EOG8BK7WN","","",""
"gene4739","gene4739","supercont1.80","668479","668922","+",444,"AAEL003177",NA,NA,NA,NA,NA,"","",""
"gene474","gene474","supercont1.848;supercont1.848;supercont1.848;supercont1.848;supercont1.848","289664;294711;295135;296461;296879","289885;295072;295319;296816;297383","+;+;+;+;+",1630,"AAEL013461","FBpp0074562-FBpp0073281-FBpp0073278","FBgn0052528-FBgn0025111-FBgn0003360","CG32528-CG1683-CG16944","parvin-Ant2-sesB","EOG86X21D-EOG86X21D-EOG86X21D","","",""
"gene4740","gene4740","supercont1.80","546309","546563","+",255,"AAEL003175",NA,NA,NA,NA,NA,"","",""
"gene4741","gene4741","supercont1.80;supercont1.80;supercont1.80","1339419;1339643;1339947","1339498;1339867;1340470","+;+;+",829,"AAEL003160","FBpp0079890","FBgn0032400","CG6770","CG6770","EOG89GP8W","","",""
"gene4742","gene4742","supercont1.80;supercont1.80;supercont1.80;supercont1.80;supercont1.80","2774087;2776537;2784382;2790395;2790599","2776470;2776638;2785224;2790533;2793319","-;-;-;-;-",6189,"AAEL003157","FBpp0079708","FBgn0032296","CG6729","CG6729","EOG8C2M1V","","",""
"gene4743","gene4743","supercont1.80;supercont1.80;supercont1.80;supercont1.80","162605;164250;165129;165331","163859;165015;165270;165613","-;-;-;-",2446,"AAEL003170","FBpp0084662","FBgn0039588","CG12413","CG12413","EOG8J6VGB","","",""
"gene4744","gene4744","supercont1.80;supercont1.80;supercont1.80;supercont1.80","1427197;1427495;1439906;1440154","1427450;1428827;1440093;1440561","-;-;-;-",2183,"AAEL003172",NA,NA,NA,NA,NA,"","",""
"gene4745","gene4745","supercont1.80","528741","543985","-",15245,"AAEL003163","FBpp0303365","FBgn0000659","CG10002","fkh","EOG8JWZ5C","","",""
"gene4746","gene4746","supercont1.474","496852","499849","-",2998,"AAEL010383","FBpp0077929","FBgn0037028","CG3618","CG3618","EOG8FJC18","","",""
"gene4747","gene4747","supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474","398478;412297;412846;413764;414003;424399","398722;412787;413701;413936;414070;424435","-;-;-;-;-;-",1870,"AAEL017311",NA,NA,NA,NA,NA,"","",""
"gene4748","gene4748","supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474","711241;712321;713747;714275;714584;714969;735660","712257;713679;714211;714525;714910;715500;737565","-;-;-;-;-;-;-",5857,"AAEL010382","FBpp0082604-FBpp0082605-FBpp0082608-FBpp0311435","FBgn0038350-FBgn0038349-FBgn0267408-FBgn0038348","CG18516-CG6045-CG18522-CG18519","AOX4-AOX3-AOX1-AOX2","EOG8ZPHKG-EOG8ZPHKG-EOG8ZPHKG-EOG8ZPHKG","","",""
"gene4749","gene4749","supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474","414258;424173;424406;431505;432260;433683;440385;440526","414297;424345;425274;432204;433618;434271;440465;440601","+;+;+;+;+;+;+;+",3887,"AAEL010391","FBpp0082605-FBpp0311435-FBpp0082608-FBpp0082604","FBgn0038349-FBgn0038348-FBgn0267408-FBgn0038350","CG6045-CG18519-CG18522-CG18516","AOX3-AOX2-AOX1-AOX4","EOG8ZPHKG-EOG8ZPHKG-EOG8ZPHKG-EOG8ZPHKG","","",""
"gene475","gene475","supercont1.848;supercont1.848;supercont1.848;supercont1.848;supercont1.848;supercont1.848","228708;244282;245306;259824;260630;260932","229217;244917;245487;260408;260873;261457","+;+;+;+;+;+",2683,"AAEL013458","FBpp0310162","FBgn0001145","CG1743","Gs2","EOG8CNTGZ","","",""
"gene4750","gene4750","supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474","754871;756395;763212;763523;763913;765059","756333;758209;763462;763849;764444;766411","-;-;-;-;-;-",5741,"AAEL010370","FBpp0082604-FBpp0082605-FBpp0311435-FBpp0082608","FBgn0038350-FBgn0038349-FBgn0038348-FBgn0267408","CG18516-CG6045-CG18519-CG18522","AOX4-AOX3-AOX2-AOX1","EOG8ZPHKG-EOG8ZPHKG-EOG8ZPHKG-EOG8ZPHKG","","",""
"gene4751","gene4751","supercont1.474;supercont1.474;supercont1.474","516461;517085;517596","517020;517527;519528","-;-;-",2936,"AAEL010381","FBpp0081814-FBpp0081813-FBpp0081854","FBgn0040259-FBgn0040257-FBgn0040251","CG18578-CG4739-CG6658","Ugt86Da-Ugt86Dc-Ugt86Di","EOG8Z91N4-EOG8Z91N4-EOG8Z91N4","","",""
"gene4752","gene4752","supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474","551892;552589;569332;569617;569886;578484;578769;579026","552518;552915;569555;569817;570440;578707;578969;579349","+;+;+;+;+;+;+;+",2683,"AAEL010368","FBpp0077909","FBgn0037020","CG4289","Pex14","EOG8VMJ6V","","",""
"gene4753","gene4753","supercont1.474;supercont1.474;supercont1.474;supercont1.474","8783;46965;47261;47797","9559;47199;47734;48315","+;+;+;+",2005,"AAEL010392","FBpp0308250-FBpp0086905","FBgn0265185-FBgn0033787","CG44250-CG13321","CG44250-CG13321","EOG83NB4S-EOG83NB4S","","",""
"gene4754","gene4754","supercont1.474;supercont1.474;supercont1.474;supercont1.474","902420;926781;944300;953980","903112;927566;944438;954437","+;+;+;+",2076,"AAEL017259",NA,NA,NA,NA,NA,"","",""
"gene4755","gene4755","supercont1.474;supercont1.474;supercont1.474;supercont1.474","686327;686609;700833;701528","686542;689377;701470;702591","-;-;-;-",4687,"AAEL010384","FBpp0082604-FBpp0082605-FBpp0311435-FBpp0082608","FBgn0038350-FBgn0038349-FBgn0038348-FBgn0267408","CG18516-CG6045-CG18519-CG18522","AOX4-AOX3-AOX2-AOX1","EOG8ZPHKG-EOG8ZPHKG-EOG8ZPHKG-EOG8ZPHKG","","",""
"gene4756","gene4756","supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474","226263;227483;296190;312985;313315;322995;323304;323538;324258;325168;326162","226321;227713;296778;313224;313508;323240;323475;324197;325091;326101;329828","+;+;+;+;+;+;+;+;+;+;+",7826,"AAEL010379","FBpp0086914-FBpp0076719-FBpp0076720","FBgn0004512-FBgn0004513-FBgn0035695","CG3879-CG10181-CG10226","Mdr49-Mdr65-CG10226","EOG8258HX-EOG8258HX-EOG8258HX","","",""
"gene4757","gene4757","supercont1.474;supercont1.474","839983;842166","842065;842508","+;+",2426,"AAEL017522",NA,NA,NA,NA,NA,"","",""
"gene4758","gene4758","supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474","197749;198110;200584;200717;226201","198045;200522;200643;201185;227404","-;-;-;-;-",4443,"AAEL010387","FBpp0074835","FBgn0036828","CG6841","CG6841","EOG8PZMXZ","","",""
"gene4759","gene4759","supercont1.474;supercont1.474;supercont1.474;supercont1.474","535767;536340;537098;549010","536267;537035;537275;549461","-;-;-;-",1827,"AAEL010376","FBpp0081123","FBgn0037482","CG10055","CG10055","EOG80CM81","","",""
"gene476","gene476","supercont1.449;supercont1.449;supercont1.449;supercont1.449","98917;101261;103841;108587","98978;103774;104729;109814","+;+;+;+",4693,"AAEL010045","FBpp0084639","FBgn0039557","CG12259","CG12259","EOG8C8BJN","","",""
"gene4760","gene4760","supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474","591698;595593;595855;598064;621260;623672;657633;660074","595335;595787;596037;598321;622870;624046;658009;660489","-;-;-;-;-;-;-;-",7053,"AAEL010373","FBpp0076921","FBgn0029067","CG1696","Dd","EOG82FW8X","","",""
"gene4761","gene4761","supercont1.474","934239","935010","-",772,"AAEL010375",NA,NA,NA,NA,NA,"","",""
"gene4762","gene4762","supercont1.474;supercont1.474;supercont1.474","667639;670750;674041","670230;670887;674401","-;-;-",3091,"AAEL017071","FBpp0298275-FBpp0081077-FBpp0071746-FBpp0081074-FBpp0081064-FBpp0081069-FBpp0081068-FBpp0297077-FBpp0291551","FBgn0261393-FBgn0015576-FBgn0034736-FBgn0015575-FBgn0015570-FBgn0015571-FBgn0015568-FBgn0015569-FBgn0015577","CG1089-CG1121-CG6018-CG1112-CG2505-CG1257-CG1031-CG1131-CG1128","alpha-Est5-alpha-Est8-CG6018-alpha-Est7-alpha-Est2-alpha-Est3-alpha-Est1-alpha-Est10-alpha-Est9","EOG8CRPQH-EOG8CRPQH-EOG8CRPQH-EOG8CRPQH-EOG8CRPQH-EOG8CRPQH-EOG8CRPQH-EOG8CRPQH-EOG8CRPQH","","",""
"gene4763","gene4763","supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474","190401;191015;191237;191968;192563","190955;191178;191497;192501;192770","+;+;+;+;+",1722,"AAEL010388","FBpp0070978","FBgn0029936","CG4617","CG4617","EOG8GQSXP","","",""
"gene4764","gene4764","supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474","840118;842118;842502;843272;843541;850192;857848","842063;842443;843214;843476;844599;851171;858305","-;-;-;-;-;-;-",5687,"AAEL010374","FBpp0079568","FBgn0010407","CG4926","Ror","EOG8J6VG5","","",""
"gene4765","gene4765","supercont1.474;supercont1.474;supercont1.474;supercont1.474","523611;524821;524968;529775","524758;524908;525153;530997","+;+;+;+",2645,"AAEL010386","FBpp0081814-FBpp0081854-FBpp0081813","FBgn0040259-FBgn0040251-FBgn0040257","CG18578-CG6658-CG4739","Ugt86Da-Ugt86Di-Ugt86Dc","EOG8Z91N4-EOG8Z91N4-EOG8Z91N4","","",""
"gene4766","gene4766","supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474","674352;674925;685060;685510;685913","674853;675075;685451;685854;686452","+;+;+;+;+",1930,"AAEL010389","FBpp0081064-FBpp0081077-FBpp0291551-FBpp0081074-FBpp0298275-FBpp0297077-FBpp0081069-FBpp0081068-FBpp0071746","FBgn0015570-FBgn0015576-FBgn0015577-FBgn0015575-FBgn0261393-FBgn0015569-FBgn0015571-FBgn0015568-FBgn0034736","CG2505-CG1121-CG1128-CG1112-CG1089-CG1131-CG1257-CG1031-CG6018","alpha-Est2-alpha-Est8-alpha-Est9-alpha-Est7-alpha-Est5-alpha-Est10-alpha-Est3-alpha-Est1-CG6018","EOG8CRPQH-EOG8CRPQH-EOG8CRPQH-EOG8CRPQH-EOG8CRPQH-EOG8CRPQH-EOG8CRPQH-EOG8CRPQH-EOG8CRPQH","","",""
"gene4767","gene4767","supercont1.474;supercont1.474;supercont1.474","59106;63678;132141","59558;64150;133845","+;+;+",2631,"AAEL010369","FBpp0074636","FBgn0036939","CG7365","CG7365","EOG88D3MB","","",""
"gene4768","gene4768","supercont1.474;supercont1.474;supercont1.474;supercont1.474;supercont1.474","360682;362390;362714;367653;367762","362332;362640;366720;367707;367778","+;+;+;+;+",5981,"AAEL010380","FBpp0082604-FBpp0311435-FBpp0082608-FBpp0082605","FBgn0038350-FBgn0038348-FBgn0267408-FBgn0038349","CG18516-CG18519-CG18522-CG6045","AOX4-AOX2-AOX1-AOX3","EOG8ZPHKG-EOG8ZPHKG-EOG8ZPHKG-EOG8ZPHKG","","",""
"gene4769","gene4769","supercont1.474;supercont1.474","167971;169739","169671;170124","-;-",2087,"AAEL010377","FBpp0077882","FBgn0036994","CG5199","CG5199","EOG8W3WCW","","",""
"gene477","gene477","supercont1.449;supercont1.449;supercont1.449;supercont1.449;supercont1.449;supercont1.449","250693;251388;270998;284195;284439;284661","251326;251529;271584;284257;284587;285127","-;-;-;-;-;-",2042,"AAEL010044","FBpp0083620","FBgn0038960","CG13855","CG13855","EOG8WM7K7","","",""
